id,sh,rb,hb
0,908.0301934331656,165.90325132384896,379.33640402555466
1,906.860086068511,170.3828220247524,367.55496595799923
2,906.3917434066534,170.72158013575245,378.6822368949652
3,906.1602204889059,166.8739732466638,380.40069475769997
4,904.7871582955122,166.477994954912,390.83744716644287
5,903.2232125848532,167.51825892552733,392.5265013575554
6,903.141664609313,176.55523741536308,363.2304239347577
7,902.2872233241796,170.7879165839404,379.34270341694355
8,901.68462882936,171.22316552244592,389.3145720809698
9,900.4696203321218,173.41856068745255,382.5140946134925
10,900.0868093818426,173.75836037658155,383.18201250582933
11,897.9543588012457,174.18034357810393,371.51453264057636
12,897.9008188694715,168.47120345639996,393.2711796760559
13,897.7257845848799,176.68508148565888,380.3855915144086
14,897.5950823277235,174.2034789007157,383.23144026845694
15,897.5801087468863,171.28950197063386,389.9750386029482
16,897.561733648181,171.20116061414592,390.9981361627579
17,897.4567186623811,167.84531990694813,399.68538793623446
18,897.3695415705442,174.20603401586413,383.153736256063
19,896.5870943516493,175.384587360546,390.840689368546
20,896.5564476639032,152.6993999437196,406.9643691971898
21,896.3335192352533,184.55394196906127,361.3365199007094
22,894.88104532063,180.75809198210482,376.56602782458066
23,894.8417177647352,175.5220830347389,390.487523265183
24,894.8265164941549,177.18980373255908,379.9626318588853
25,894.6059886068106,177.98117750696838,380.72387919574976
26,893.620975652337,160.01294638789258,401.6660058543086
27,893.2720157295465,159.8275408001151,402.0917756602168
28,893.162546852231,163.33482325184158,402.31210372298955
29,892.6956631332636,154.97464146292768,405.2710463449359
30,892.4841891318559,154.76395022417418,405.7306678339839
31,892.4519275814295,152.76573639190755,407.6248357191682
32,891.7589466422796,171.76654016785324,397.67313615977764
33,891.0177325338125,175.87917642816902,383.1315380677581
34,890.7921917766332,175.88173154331744,383.0538340553641
35,890.3984235912561,172.16120893019252,392.73090618550776
36,889.8945686668158,174.34005065704696,390.9637431278825
37,889.599727371335,180.71356358821504,377.10619786828755
38,888.9593707770109,179.43364258669317,381.47397995740175
