id,cx,mu,ft
0,0.5,0.5,1550.9150238752366
1,0.5,0.5,1384.7814341038465
2,0.5,0.5,1519.5696081072092
3,0.5,0.5,1445.8462815076114
4,0.5,0.5,1488.4851892143488
5,0.5,0.5,1352.812194085121
6,0.5,0.5,1458.9466628879309
7,0.5,0.5,1486.2417148530483
8,0.5,0.5,1450.8648130744696
9,0.5,0.5,1469.846435111761
10,0.5,0.5,1421.9774670869112
11,0.5,0.5,1376.9083365023134
12,0.5,0.5,1461.2490885019301
13,0.5,0.5,1465.6811133056879
14,0.5,0.5,1410.1754824638367
15,0.5,0.5,1484.073922279477
16,0.5,0.5,1410.247140815854
17,0.5,0.5,1426.4923546791076
18,0.5,0.5,1427.725190293789
19,0.5,0.5,1454.6003668338062
20,0.5,0.5,1376.6290620684622
21,0.5,0.5,1408.2636082559825
22,0.5,0.5,1395.5504157572984
23,0.5,0.5,1359.2223033547402
24,0.5,0.5,1367.695440903306
25,0.5,0.5,1479.700973713398
26,0.5,0.5,1466.6902930170297
27,0.5,0.5,1475.7515763521194
28,0.5,0.5,1384.9347852140666
29,0.5,0.5,1531.830000296235
0,0.6,0.4,1424.3685253471135
1,0.6,0.4,1518.0785449147224
2,0.6,0.4,1458.8251134574414
3,0.6,0.4,1586.1001822203398
4,0.6,0.4,1443.2635212123394
5,0.6,0.4,1441.0810666024686
6,0.6,0.4,1479.7075029581783
7,0.6,0.4,1463.5941185593604
8,0.6,0.4,1515.4444549947978
9,0.6,0.4,1492.0818671554327
10,0.6,0.4,1464.8710927635434
11,0.6,0.4,1348.9831182181836
12,0.6,0.4,1412.5806139081717
13,0.6,0.4,1466.748223170638
14,0.6,0.4,1491.371443927288
15,0.6,0.4,1415.6608464956284
16,0.6,0.4,1451.5416126698256
17,0.6,0.4,1511.6135232299566
18,0.6,0.4,1435.2247092276812
19,0.6,0.4,1434.1518400877715
20,0.6,0.4,1352.8937093257905
21,0.6,0.4,1342.3425112694504
22,0.6,0.4,1464.0862441658974
23,0.6,0.4,1460.8723141402006
24,0.6,0.4,1407.7393100887539
25,0.6,0.4,1417.4058261543512
26,0.6,0.4,1553.7695775598288
27,0.6,0.4,1418.2232232451438
28,0.6,0.4,1496.181743684411
29,0.6,0.4,1502.6619578659534
0,0.7,0.3,1434.6412377834322
1,0.7,0.3,1438.0418916493654
2,0.7,0.3,1445.3117042362692
3,0.7,0.3,1553.7785407334566
4,0.7,0.3,1453.661926791072
5,0.7,0.3,1425.587644660473
6,0.7,0.3,1435.643826031685
7,0.7,0.3,1450.2613953411578
8,0.7,0.3,1465.4823627680541
9,0.7,0.3,1529.6632057875395
10,0.7,0.3,1465.2954695910216
11,0.7,0.3,1400.138713002205
12,0.7,0.3,1431.0645115286113
13,0.7,0.3,1530.9662452220916
14,0.7,0.3,1465.3997119694948
15,0.7,0.3,1431.9924681097268
16,0.7,0.3,1442.9365721225738
17,0.7,0.3,1424.0205090463162
18,0.7,0.3,1535.460469147563
19,0.7,0.3,1508.9202755004167
20,0.7,0.3,1288.9680495768785
21,0.7,0.3,1474.9569747895002
22,0.7,0.3,1527.4836033791303
23,0.7,0.3,1495.267703267932
24,0.7,0.3,1402.8765573829412
25,0.7,0.3,1417.3404848486184
26,0.7,0.3,1422.4789197057485
27,0.7,0.3,1510.0246801227331
28,0.7,0.3,1438.6256200045348
29,0.7,0.3,1459.0316691428422
0,0.8,0.2,1444.7522346824408
1,0.8,0.2,1556.5100116342305
2,0.8,0.2,1493.5565371632576
3,0.8,0.2,1529.9721043378113
4,0.8,0.2,1467.9157275229693
5,0.8,0.2,1402.9209524512291
6,0.8,0.2,1389.98449524343
7,0.8,0.2,1480.6910383462905
8,0.8,0.2,1518.3668981701135
9,0.8,0.2,1368.6785579055547
10,0.8,0.2,1462.2661475628615
11,0.8,0.2,1364.3735889106988
12,0.8,0.2,1496.5964562743902
13,0.8,0.2,1316.3682052731515
14,0.8,0.2,1336.4755075216294
15,0.8,0.2,1451.612823727727
16,0.8,0.2,1452.4279872089623
17,0.8,0.2,1372.477089035511
18,0.8,0.2,1530.7742065519094
19,0.8,0.2,1415.01818279624
20,0.8,0.2,1442.1565699279308
21,0.8,0.2,1490.414508357644
22,0.8,0.2,1357.8847848773003
23,0.8,0.2,1417.732648164034
24,0.8,0.2,1376.798539686203
25,0.8,0.2,1389.2895297527314
26,0.8,0.2,1459.833495518565
27,0.8,0.2,1496.4104140520096
28,0.8,0.2,1485.0813115984201
29,0.8,0.2,1497.297402486205
