id,cx,mu,ft
0,0.5,0.5,1717.548950880766
1,0.5,0.5,1765.6346727073192
2,0.5,0.5,1827.0438185095786
3,0.5,0.5,1726.0889672532678
4,0.5,0.5,1791.0029033005237
5,0.5,0.5,1912.3039825946091
6,0.5,0.5,1795.1126944094897
7,0.5,0.5,1691.5316025823356
8,0.5,0.5,1775.419736251235
9,0.5,0.5,1808.4331715762614
10,0.5,0.5,1867.4965628027917
11,0.5,0.5,1829.3844519466163
12,0.5,0.5,1675.7737122178078
13,0.5,0.5,1866.7186259001492
14,0.5,0.5,1835.5076014369727
15,0.5,0.5,1688.8402101635934
16,0.5,0.5,1797.0290791511536
17,0.5,0.5,1816.2736017197371
18,0.5,0.5,1738.619984805584
19,0.5,0.5,1665.7431899607182
20,0.5,0.5,1875.0135637015105
21,0.5,0.5,1759.6582097396254
22,0.5,0.5,1827.526500734687
23,0.5,0.5,1766.3687434971334
24,0.5,0.5,1781.349218890071
25,0.5,0.5,1744.4356352508066
26,0.5,0.5,1754.7492767870426
27,0.5,0.5,1781.6983932316302
28,0.5,0.5,1782.0057628959416
29,0.5,0.5,1627.1218330204488
0,0.6,0.4,1787.4998108983038
1,0.6,0.4,1697.0117182046174
2,0.6,0.4,1767.487945367396
3,0.6,0.4,1692.4893387496472
4,0.6,0.4,1838.2645457863807
5,0.6,0.4,1818.2286951094866
6,0.6,0.4,1773.7074103981254
7,0.6,0.4,1746.7158012866973
8,0.6,0.4,1706.0703005969524
9,0.6,0.4,1802.22047791481
10,0.6,0.4,1822.6037155449392
11,0.6,0.4,1798.4385805964469
12,0.6,0.4,1764.196542391181
13,0.6,0.4,1808.377055579424
14,0.6,0.4,1859.8041935563087
15,0.6,0.4,1778.0373615399003
16,0.6,0.4,1718.9038483679294
17,0.6,0.4,1770.665586593747
18,0.6,0.4,1799.115093418956
19,0.6,0.4,1700.020849403739
20,0.6,0.4,1823.7549329489468
21,0.6,0.4,1749.848656538129
22,0.6,0.4,1800.5023989945648
23,0.6,0.4,1710.2753036886454
24,0.6,0.4,1808.4266921818255
25,0.6,0.4,1961.62950078398
26,0.6,0.4,1752.5537095844745
27,0.6,0.4,1894.290635821223
28,0.6,0.4,1714.8529329508544
29,0.6,0.4,1676.8019107162952
0,0.7,0.3,1748.008964404464
1,0.7,0.3,1686.8014369785783
2,0.7,0.3,1706.3859829396008
3,0.7,0.3,1816.4590164363385
4,0.7,0.3,1735.1112182229758
5,0.7,0.3,1846.9755008518696
6,0.7,0.3,1733.8663164228196
7,0.7,0.3,1723.5514909997582
8,0.7,0.3,1724.778795439005
9,0.7,0.3,1647.4222504198551
10,0.7,0.3,1691.8993574082851
11,0.7,0.3,1815.0489086449147
12,0.7,0.3,1812.2711003392935
13,0.7,0.3,1824.2598127245903
14,0.7,0.3,1792.1098356664181
15,0.7,0.3,1861.1619411677123
16,0.7,0.3,1734.7295405268671
17,0.7,0.3,1827.4889727532866
18,0.7,0.3,1801.1783394515514
19,0.7,0.3,1780.545811638236
20,0.7,0.3,1731.5914475306868
21,0.7,0.3,1785.542620241642
22,0.7,0.3,1769.2365480720998
23,0.7,0.3,1819.816636559367
24,0.7,0.3,1921.879797682166
25,0.7,0.3,1848.8561877071857
26,0.7,0.3,1750.6839509248732
27,0.7,0.3,1795.3313707470895
28,0.7,0.3,1765.883308148384
29,0.7,0.3,1666.086249792576
0,0.8,0.2,1737.4533636450767
1,0.8,0.2,1810.8326281666755
2,0.8,0.2,1798.5744565486907
3,0.8,0.2,1851.7259231925009
4,0.8,0.2,1748.7833964139222
5,0.8,0.2,1832.2593911483887
6,0.8,0.2,1763.927300223708
7,0.8,0.2,1701.4253588587046
8,0.8,0.2,1737.6120556533335
9,0.8,0.2,1761.0053524076939
10,0.8,0.2,1817.0812809914355
11,0.8,0.2,1836.3233725607395
12,0.8,0.2,1850.3395048141479
13,0.8,0.2,1796.1110323846342
14,0.8,0.2,1782.752286469936
15,0.8,0.2,1768.008439143002
16,0.8,0.2,1776.757946908474
17,0.8,0.2,1755.0615135252476
18,0.8,0.2,1863.81785364151
19,0.8,0.2,1726.437704539299
20,0.8,0.2,1779.1380639940498
21,0.8,0.2,1742.9569062471392
22,0.8,0.2,1883.6675781756637
23,0.8,0.2,1787.5079786747694
24,0.8,0.2,1785.09031996727
25,0.8,0.2,1757.5757486492396
26,0.8,0.2,1811.990495532751
27,0.8,0.2,1796.3815724819901
28,0.8,0.2,1798.7274551570415
29,0.8,0.2,1674.000158084929
