id,sh,rb,hb,di
0,856.8165635198354,65.73877002703958,332.7039555937052,39.45584412271568
1,856.7546318501234,65.9033343534451,332.6181987851858,39.45584412271568
2,856.3944875329732,67.01806104192511,331.8207258462906,39.45584412271569
3,856.3177585333585,66.72220016303473,332.18715110719205,39.45584412271568
4,855.8968831032514,66.7913570183795,332.0360814064741,39.45584412271568
5,855.7838229864835,67.16497015985661,331.9983135789633,38.87005768508878
6,855.590577635169,66.90614447006956,332.8377612859011,39.45584412271569
7,854.700052294135,67.28680078345351,330.79986527860166,39.45584412271568
8,853.1971369117498,67.31308098728769,330.5516231387854,39.45584412271568
9,852.7762614816427,67.38223784263246,330.40055343806745,39.45584412271568
10,851.1962787955999,62.970674435724504,332.7939035445452,39.45584412271568
11,850.875529512763,63.203336856444366,333.13764847815037,39.45584412271568
12,850.7265769571065,67.87975647146814,330.8494285672903,39.45584412271568
13,849.7054100126028,68.71186830057123,330.1784418016672,39.45584412271568
14,849.4367837637662,65.92081297023688,339.6859734684229,39.45584412271568
15,847.663069292903,67.50909080463461,328.7980629056692,38.87005768508878
16,847.5678838461638,64.60336852113251,341.5350415289402,39.45584412271568
17,847.2421938627958,67.57824765997938,328.6469932049513,38.87005768508878
18,846.6117729276418,67.705033794255,339.7597918242216,38.87005768508878
19,846.140612873435,67.79571452396922,339.73695713579656,38.87005768508878
20,845.9037470966578,65.51509826290422,340.1054921984673,39.45584412271568
21,845.8773998230696,65.13078206817154,340.3191951215267,39.45584412271568
22,845.6519434183836,68.43127177676652,331.2961959719658,39.45584412271568
23,845.5433637946844,64.61521388881374,341.33109979331493,39.45584412271568
24,844.877499076724,68.481101497286,331.240055847168,39.45584412271568
25,844.4173946231604,69.37980490459594,342.2957776337862,39.45584412271568
26,844.2052764981985,70.31196074141481,338.4849030166864,39.45584412271568
27,841.4920217722654,68.03017641997431,327.9172045171261,38.87005768508878
28,841.3304998606443,69.05841943467968,342.9105672866106,39.45584412271568
29,840.7615552872419,70.41245133648627,332.52607181966306,39.45584412271568
30,839.8430543988943,69.8540339219413,344.3141282349825,38.87005768508878
31,839.3085960000753,69.89155181611713,345.40260069072247,38.87005768508878
32,836.8799887865782,71.75435623882805,349.59486801624297,39.45584412271569
33,836.1678703397513,71.66184094904457,350.7213374644518,39.45584412271569
34,835.2332606166601,71.98108359707985,338.7377709299326,39.45584412271568
35,835.171328946948,72.14564792348537,338.65201412141323,39.45584412271568
36,833.9714714735746,79.16834453644697,345.38065891861913,38.87005768508878
37,833.8400876253843,71.99423327599652,345.39030970931054,39.45584412271568
38,832.9746382087469,68.35976303844072,347.3813851326704,39.45584412271568
39,832.3703156501055,71.21632934568916,350.1564730554819,38.87005768508878
40,832.2510437220335,74.70040392039809,347.81206734478474,39.45584412271568
41,832.1727933079004,64.49621433934662,329.0930164217949,38.284271247461874
42,832.131237283349,87.56936463981401,368.5434820950031,39.455844122715696
43,831.476599380374,74.75023364091757,347.7559272199869,39.45584412271568
44,830.8401392251253,72.55348218756262,351.51072101294994,39.45584412271568
45,830.5193899422884,72.78614460828248,351.85446594655514,39.45584412271568
46,830.5148075371981,73.22980820538942,358.236679777503,39.45584412271568
